t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778194241922356190,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194241922297171,-1,,-1,-1,-1,-1,0,-1,,-1,-1,-1,-1,1
1778194241991344190,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194241991284338,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242050179134,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242050126301,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242117426245,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242117363764,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242182366671,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242182312208,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242257060449,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242257001319,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242312939245,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242312873597,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242382516208,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242382465504,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194242458484430,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778194242458422745,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194245590859447,1778194245548822169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194245590699984,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194245621867243,1778194245621422187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194245621819039,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194245762655113,1778194245696926002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194245762594206,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194245824880928,1778194245696926002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194245824819354,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194246057860206,1778194246051066650,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194246057794113,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778194246161356928,1778194246149277928,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194246161267669,-1,IDLE,0,0,0,0,1778194246108158113,-1,IDLE,0,0,0,0,1
1778194246184809150,1778194246149277928,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194246184720483,-1,IDLE,0,0,0,0,1778194246108158113,-1,IDLE,0,0,0,0,1
