t,input_hex,mem0,mem1,mem2,mem3,spk0,spk1,spk2,spk3,winner,elig_0_0,elig_0_1,elig_0_2,elig_0_3,elig_0_4,elig_0_5,elig_0_6,elig_0_7,elig_0_8,elig_0_9,elig_0_10,elig_0_11,elig_0_12,elig_0_13,elig_0_14,elig_0_15,elig_0_16,elig_0_17,elig_0_18,elig_0_19,elig_0_20,elig_0_21,elig_0_22,elig_0_23,elig_0_24,elig_0_25,elig_0_26,elig_1_0,elig_1_1,elig_1_2,elig_1_3,elig_1_4,elig_1_5,elig_1_6,elig_1_7,elig_1_8,elig_1_9,elig_1_10,elig_1_11,elig_1_12,elig_1_13,elig_1_14,elig_1_15,elig_1_16,elig_1_17,elig_1_18,elig_1_19,elig_1_20,elig_1_21,elig_1_22,elig_1_23,elig_1_24,elig_1_25,elig_1_26,elig_2_0,elig_2_1,elig_2_2,elig_2_3,elig_2_4,elig_2_5,elig_2_6,elig_2_7,elig_2_8,elig_2_9,elig_2_10,elig_2_11,elig_2_12,elig_2_13,elig_2_14,elig_2_15,elig_2_16,elig_2_17,elig_2_18,elig_2_19,elig_2_20,elig_2_21,elig_2_22,elig_2_23,elig_2_24,elig_2_25,elig_2_26,elig_3_0,elig_3_1,elig_3_2,elig_3_3,elig_3_4,elig_3_5,elig_3_6,elig_3_7,elig_3_8,elig_3_9,elig_3_10,elig_3_11,elig_3_12,elig_3_13,elig_3_14,elig_3_15,elig_3_16,elig_3_17,elig_3_18,elig_3_19,elig_3_20,elig_3_21,elig_3_22,elig_3_23,elig_3_24,elig_3_25,elig_3_26,w_0_0,w_0_1,w_0_2,w_0_3,w_0_4,w_0_5,w_0_6,w_0_7,w_0_8,w_0_9,w_0_10,w_0_11,w_0_12,w_0_13,w_0_14,w_0_15,w_0_16,w_0_17,w_0_18,w_0_19,w_0_20,w_0_21,w_0_22,w_0_23,w_0_24,w_0_25,w_0_26,w_1_0,w_1_1,w_1_2,w_1_3,w_1_4,w_1_5,w_1_6,w_1_7,w_1_8,w_1_9,w_1_10,w_1_11,w_1_12,w_1_13,w_1_14,w_1_15,w_1_16,w_1_17,w_1_18,w_1_19,w_1_20,w_1_21,w_1_22,w_1_23,w_1_24,w_1_25,w_1_26,w_2_0,w_2_1,w_2_2,w_2_3,w_2_4,w_2_5,w_2_6,w_2_7,w_2_8,w_2_9,w_2_10,w_2_11,w_2_12,w_2_13,w_2_14,w_2_15,w_2_16,w_2_17,w_2_18,w_2_19,w_2_20,w_2_21,w_2_22,w_2_23,w_2_24,w_2_25,w_2_26,w_3_0,w_3_1,w_3_2,w_3_3,w_3_4,w_3_5,w_3_6,w_3_7,w_3_8,w_3_9,w_3_10,w_3_11,w_3_12,w_3_13,w_3_14,w_3_15,w_3_16,w_3_17,w_3_18,w_3_19,w_3_20,w_3_21,w_3_22,w_3_23,w_3_24,w_3_25,w_3_26
0,5885280,1047,1149,1012,1095,1,1,1,1,1,0,0,0,0,0,0,0,8,0,8,0,0,8,0,8,0,0,0,0,8,0,0,0,8,8,0,8,0,0,0,0,0,0,0,8,0,8,0,0,8,0,8,0,0,0,0,8,0,0,0,8,8,0,8,0,0,0,0,0,0,0,8,0,8,0,0,8,0,8,0,0,0,0,8,0,0,0,8,8,0,8,0,0,0,0,0,0,0,8,0,8,0,0,8,0,8,0,0,0,0,8,0,0,0,8,8,0,8,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
1,64A9A21,0,0,0,0,0,0,0,0,-1,-6,0,0,0,0,-6,0,6,0,0,0,-6,0,0,6,-6,0,-6,0,0,0,0,-6,6,6,-6,0,-6,0,0,0,0,-6,0,6,0,0,0,-6,0,0,6,-6,0,-6,0,0,0,0,-6,6,6,-6,0,-6,0,0,0,0,-6,0,6,0,0,0,-6,0,0,6,-6,0,-6,0,0,0,0,-6,6,6,-6,0,-6,0,0,0,0,-6,0,6,0,0,0,-6,0,0,6,-6,0,-6,0,0,0,0,-6,6,6,-6,0,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
2,4FAE440,1490,1597,1523,1410,1,1,1,1,1,3,0,0,0,0,3,8,12,0,8,8,3,8,8,12,3,0,3,0,8,8,8,3,12,12,3,8,3,0,0,0,0,3,8,12,0,8,8,3,8,8,12,3,0,3,0,8,8,8,3,12,12,3,8,3,0,0,0,0,3,8,12,0,8,8,3,8,8,12,3,0,3,0,8,8,8,3,12,12,3,8,3,0,0,0,0,3,8,12,0,8,8,3,8,8,12,3,0,3,0,8,8,8,3,12,12,3,8,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
3,2B5B002,0,0,0,0,0,0,0,0,-1,2,-6,0,0,0,2,6,9,0,6,6,2,0,0,9,-3,-6,2,-6,6,0,0,2,3,9,-3,6,2,-6,0,0,0,2,6,9,0,6,6,2,0,0,9,-3,-6,2,-6,6,0,0,2,3,9,-3,6,2,-6,0,0,0,2,6,9,0,6,6,2,0,0,9,-3,-6,2,-6,6,0,0,2,3,9,-3,6,2,-6,0,0,0,2,6,9,0,6,6,2,0,0,9,-3,-6,2,-6,6,0,0,2,3,9,-3,6,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
4,1248010,724,574,454,713,0,0,0,0,-1,1,-4,0,0,0,1,5,7,0,5,5,1,0,0,7,-2,-4,1,-4,5,0,0,1,2,7,-2,5,1,-4,0,0,0,1,5,7,0,5,5,1,0,0,7,-2,-4,1,-4,5,0,0,1,2,7,-2,5,1,-4,0,0,0,1,5,7,0,5,5,1,0,0,7,-2,-4,1,-4,5,0,0,1,2,7,-2,5,1,-4,0,0,0,1,5,7,0,5,5,1,0,0,7,-2,-4,1,-4,5,0,0,1,2,7,-2,5,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
5,226C004,1074,935,772,1021,1,0,0,1,0,0,5,8,0,8,0,12,6,0,4,12,0,8,8,13,6,5,9,5,12,8,8,9,9,13,6,12,0,-3,0,0,0,0,4,6,0,4,4,0,0,0,6,-1,-3,0,-3,4,0,0,0,1,6,-1,4,0,-3,0,0,0,0,4,6,0,4,4,0,0,0,6,-1,-3,0,-3,4,0,0,0,1,6,-1,4,0,5,8,0,8,0,12,6,0,4,12,0,8,8,13,6,5,9,5,12,8,8,9,9,13,6,12,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
6,6686000,0,1325,1069,0,0,1,1,0,1,0,4,6,0,6,0,9,5,0,3,9,0,6,0,4,5,4,7,4,3,6,0,0,7,10,-1,3,0,6,8,0,8,0,3,5,0,3,3,0,8,8,12,7,6,8,6,11,8,8,8,9,12,7,11,0,6,8,0,8,0,3,5,0,3,3,0,8,8,12,7,6,8,6,11,8,8,8,9,12,7,11,0,4,6,0,6,0,9,5,0,3,9,0,6,0,4,5,4,7,4,3,6,0,0,7,10,-1,3,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
7,0990010,635,0,0,469,0,0,0,0,-1,0,3,5,0,5,0,7,4,0,2,7,0,5,0,3,4,3,6,3,2,5,0,0,6,8,0,2,0,5,6,0,0,0,2,4,0,2,2,0,6,6,9,6,-1,6,5,2,0,6,6,0,9,6,9,0,5,6,0,0,0,2,4,0,2,2,0,6,6,9,6,-1,6,5,2,0,6,6,0,9,6,9,0,3,5,0,5,0,7,4,0,2,7,0,5,0,3,4,3,6,3,2,5,0,0,6,8,0,2,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
8,23AC000,893,910,842,888,0,0,0,0,-1,0,2,4,0,4,0,6,3,0,1,6,0,4,0,2,3,2,5,2,1,4,0,0,5,6,0,1,0,4,5,0,0,0,1,3,0,1,1,0,5,5,7,5,0,5,4,1,0,5,5,0,7,5,7,0,4,5,0,0,0,1,3,0,1,1,0,5,5,7,5,0,5,4,1,0,5,5,0,7,5,7,0,2,4,0,4,0,6,3,0,1,6,0,4,0,2,3,2,5,2,1,4,0,0,5,6,0,1,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
9,506D004,1444,1456,1201,1407,1,1,1,1,1,0,1,11,0,11,0,5,2,0,0,5,0,11,8,9,10,9,12,9,9,11,8,8,12,12,8,9,0,3,12,0,8,0,0,2,0,0,0,0,12,12,13,12,8,12,11,9,8,12,12,8,13,12,13,0,3,12,0,8,0,0,2,0,0,0,0,12,12,13,12,8,12,11,9,8,12,12,8,13,12,13,0,1,11,0,11,0,5,2,0,0,5,0,11,8,9,10,9,12,9,9,11,8,8,12,12,8,9,166,115,156,78,170,135,124,84,166,185,146,150,138,138,151,180,163,167,87,66,85,116,65,151,171,93,101,65,127,123,84,96,139,121,85,188,171,152,112,154,122,190,105,191,155,123,143,78,125,125,110,125,114,171,118,179,127,184,66,164,114,70,84,136,102,81,67,152,123,77,177,185,72,153,116,65,147,155,174,123,134,107,188,71,110,98,141,144,99,113,167,67,65,189,69,117,169,67,117,156,126,81,153,107,97,137,125,163
