t,stim_hex,mem0,mem1,mem2,mem3,spk0,spk1,spk2,spk3
0,5F85280,1313,1477,1340,1436,1,1,1,1
1,64A9A21,0,0,0,0,0,0,0,0
2,4FAE440,1490,1597,1523,1410,1,1,1,1
3,2B5B002,0,0,0,0,0,0,0,0
4,1248010,724,574,454,713,0,0,0,0
5,226D004,1212,1089,839,1210,1,1,0,1
6,6686000,0,0,1136,0,0,0,1,0
7,0990010,635,618,0,469,0,0,0,0
8,3BAC000,1215,1163,1171,1122,1,1,1,1
9,506D004,0,0,0,0,0,0,0,0
10,39A0000,733,725,906,683,0,0,0,0
11,3104000,633,632,842,543,0,0,0,0
12,27A3002,1016,1175,1429,1155,1,1,1,1
13,28E3000,0,0,0,0,0,0,0,0
14,061B800,950,934,766,819,0,0,0,0
15,1420002,868,866,851,768,0,0,0,0
16,1B8F000,1464,1418,1333,1306,1,1,1,1
17,7B49480,0,0,0,0,0,0,0,0
18,56C9000,924,1071,889,1200,0,1,0,1
19,3057104,1587,0,1388,0,1,0,1,0
20,168F800,0,1201,0,1132,0,1,0,1
21,700F060,1231,0,1128,0,1,0,1,0
22,3260000,0,642,0,688,0,0,0,0
23,71D9004,1240,1369,1220,1372,1,1,1,1
24,6919040,0,0,0,0,0,0,0,0
25,5A53800,1215,1233,1077,1096,1,1,1,1
26,518C160,0,0,0,0,0,0,0,0
27,0A31200,920,906,785,790,0,0,0,0
28,1EFC000,1637,1698,1513,1436,1,1,1,1
29,2E00000,0,0,0,0,0,0,0,0
30,1A6E008,1239,1139,1187,1125,1,1,1,1
31,59F110A,0,0,0,0,0,0,0,0
32,1540201,759,687,763,755,0,0,0,0
33,1DC3000,1060,1067,1199,1117,1,1,1,1
34,7394000,0,0,0,0,0,0,0,0
35,1F41000,813,840,796,920,0,0,0,0
36,5DDA001,1586,1598,1671,1599,1,1,1,1
37,35D0000,0,0,0,0,0,0,0,0
38,5BDE080,1493,1568,1468,1434,1,1,1,1
39,3036000,0,0,0,0,0,0,0,0
40,1A62040,954,881,917,873,0,0,0,0
41,6451000,1001,1159,1037,1080,1,1,1,1
42,0549040,0,0,0,0,0,0,0,0
43,2D0C020,860,861,905,837,0,0,0,0
44,05E9068,1385,1488,1584,1577,1,1,1,1
45,0DDA004,0,0,0,0,0,0,0,0
46,2446012,819,897,862,860,0,0,0,0
47,6910002,927,1088,1146,981,0,1,1,0
48,4657000,1286,0,0,1402,1,0,0,1
49,399B008,0,1226,1378,0,0,1,1,0
50,6A48400,874,0,0,930,0,0,0,0
51,15B8000,1171,922,1029,1134,1,0,1,1
52,364F000,0,1505,0,0,0,1,0,0
53,54D4080,888,0,1050,972,0,0,1,0
54,6A9B400,1580,1387,0,1597,1,1,0,1
55,4F48080,0,0,836,0,0,0,0,0
56,2237800,1116,1163,1209,902,1,1,1,0
57,1AAF000,0,0,0,1476,0,0,0,1
58,5489800,871,935,833,0,0,0,0,0
59,421B20A,1485,1585,1404,1275,1,1,1,1
60,0FD3000,0,0,0,0,0,0,0,0
61,5477008,1259,1440,1415,1232,1,1,1,1
62,363B000,0,0,0,0,0,0,0,0
63,14BB009,1332,1269,1434,1198,1,1,1,1
64,2899000,0,0,0,0,0,0,0,0
65,62A3022,1069,1250,1222,1271,1,1,1,1
66,384A000,0,0,0,0,0,0,0,0
67,420E000,686,713,551,671,0,0,0,0
68,7B1B088,1584,1577,1494,1530,1,1,1,1
69,4368000,0,0,0,0,0,0,0,0
70,7BB2080,1335,1419,1504,1234,1,1,1,1
71,00B5000,0,0,0,0,0,0,0,0
72,7717000,1221,1395,1278,1208,1,1,1,1
73,2A92808,0,0,0,0,0,0,0,0
74,00A9000,551,557,482,601,0,0,0,0
75,228E120,1045,1126,941,1014,1,1,0,1
76,3063009,0,0,1416,0,0,0,1,0
77,130E000,841,745,0,726,0,0,0,0
78,0EDE010,1528,1475,1187,1285,1,1,1,1
79,576D001,0,0,0,0,0,0,0,0
80,3339040,1237,1168,1098,1182,1,1,1,1
81,62A9018,0,0,0,0,0,0,0,0
82,5072804,1133,1122,1102,845,1,1,1,0
83,603B000,0,0,0,1144,0,0,0,1
84,4D67003,1364,1420,1448,0,1,1,1,0
85,19EA010,0,0,0,1050,0,0,0,1
86,6796000,978,1259,1190,0,0,1,1,0
87,5080200,901,0,0,593,0,0,0,0
88,7CA1000,1253,1097,1138,1061,1,1,1,1
89,3241002,0,0,0,0,0,0,0,0
90,1B81000,727,735,730,783,0,0,0,0
91,4FCB000,1254,1391,1268,1493,1,1,1,1
92,64F6002,0,0,0,0,0,0,0,0
93,65C8010,847,955,888,1025,0,0,0,1
94,06A6208,1213,1470,1433,0,1,1,1,0
95,5860818,0,0,0,943,0,0,0,0
96,3941000,725,704,707,1128,0,0,0,1
97,7EE7000,1569,1761,1657,0,1,1,1,0
98,730E000,0,0,0,1014,0,0,0,1
99,05A9080,785,845,815,0,0,0,0,0
