t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778191503990407414,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778191503990317118,-1,,-1,-1,-1,-1,0,-1,,-1,-1,-1,-1,1
1778191504021389099,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778191504021310673,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504061989877,1778191504047688710,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504061934155,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504103214192,1778191504084497173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504103160784,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504181510118,1778191504181069821,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504181464877,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504261501636,1778191504250050340,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504252709136,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504355064303,1778191504352971303,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504353357969,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504386432155,1778191504371585599,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504386381043,-1,IDLE,0,0,0,0,0,-1,,-1,-1,-1,-1,1
1778191504444123395,1778191504433943710,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504444064951,-1,IDLE,0,0,0,0,1778191504394820303,-1,IDLE,0,0,0,0,1
1778191504522346155,1778191504521804617,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191504522293321,-1,IDLE,0,0,0,0,1778191504394820303,-1,IDLE,0,0,0,0,1
